wave,age_group,HOSP-%,HOSP-%_lower,HOSP-%_upper,ICU-%,ICU-%_lower,ICU-%_upper,DEATH-%,DEATH-%_lower,DEATH-%_upper
1.0,0-9,2.702,2.696,2.708,1.323,1.316,1.33,0.11,0.107,0.112
1.0,10-19,1.426,1.421,1.43,1.397,1.39,1.404,0.082,0.08,0.084
1.0,20-29,5.291,5.283,5.3,4.987,4.973,5.0,0.905,0.898,0.912
1.0,30-39,9.916,9.906,9.927,9.455,9.437,9.473,2.604,2.592,2.616
1.0,40-49,13.05,13.037,13.062,12.906,12.886,12.926,6.058,6.041,6.076
1.0,50-59,20.294,20.279,20.308,20.52,20.496,20.544,14.227,14.201,14.253
1.0,60-69,20.523,20.508,20.537,23.712,23.686,23.737,23.41,23.379,23.441
1.0,70-79,15.231,15.218,15.244,17.31,17.287,17.332,25.302,25.27,25.333
1.0,80+,11.568,11.556,11.579,8.391,8.374,8.408,27.303,27.27,27.335
2.0,0-9,2.064,2.058,2.07,1.109,1.102,1.116,0.066,0.064,0.068
2.0,10-19,1.168,1.164,1.173,0.661,0.655,0.666,0.066,0.064,0.068
2.0,20-29,3.908,3.9,3.916,2.088,2.079,2.098,0.544,0.538,0.55
2.0,30-39,7.487,7.476,7.497,5.002,4.988,5.017,1.648,1.638,1.658
2.0,40-49,10.849,10.837,10.862,9.568,9.548,9.588,4.153,4.137,4.169
2.0,50-59,19.142,19.126,19.158,19.844,19.817,19.871,11.388,11.362,11.413
2.0,60-69,22.411,22.394,22.428,27.006,26.975,27.036,23.171,23.137,23.205
2.0,70-79,18.657,18.642,18.673,23.997,23.968,24.026,28.922,28.886,28.959
2.0,80+,14.314,14.3,14.328,10.724,10.703,10.745,30.043,30.006,30.08
3.0,0-9,2.063,2.058,2.067,0.862,0.857,0.866,0.121,0.119,0.123
3.0,10-19,0.854,0.851,0.857,0.44,0.437,0.444,0.114,0.112,0.116
3.0,20-29,3.824,3.819,3.83,2.489,2.482,2.497,1.084,1.078,1.089
3.0,30-39,9.603,9.594,9.612,8.266,8.252,8.28,4.343,4.331,4.354
3.0,40-49,16.126,16.115,16.137,17.189,17.17,17.208,10.33,10.313,10.346
3.0,50-59,23.02,23.007,23.032,26.068,26.046,26.09,19.303,19.281,19.324
3.0,60-69,21.126,21.114,21.139,24.708,24.686,24.73,24.456,24.433,24.48
3.0,70-79,13.574,13.563,13.584,14.355,14.337,14.373,20.902,20.88,20.924
3.0,80+,9.81,9.801,9.819,5.623,5.612,5.635,19.348,19.327,19.37
4.0,0-9,16.17,16.145,16.195,10.206,10.154,10.257,0.35,0.341,0.359
4.0,10-19,2.468,2.457,2.478,1.322,1.302,1.341,0.233,0.226,0.241
4.0,20-29,3.946,3.933,3.96,2.57,2.543,2.597,0.641,0.629,0.653
4.0,30-39,4.482,4.468,4.496,3.01,2.981,3.039,0.991,0.976,1.006
4.0,40-49,5.111,5.096,5.125,4.258,4.224,4.293,2.099,2.077,2.121
4.0,50-59,8.196,8.177,8.214,9.545,9.495,9.595,5.423,5.388,5.457
4.0,60-69,14.063,14.039,14.086,21.806,21.736,21.876,13.061,13.01,13.112
4.0,70-79,19.523,19.496,19.55,24.229,24.156,24.302,23.09,23.027,23.154
4.0,80+,26.042,26.012,26.072,23.054,22.983,23.126,54.111,54.035,54.186
