wave,age_group,cases,hosp,icu,hosp_death,icu_death,deaths,CFR,HCR,HCR_I,HFR,HFR_I
1.0,0-9,11311,776,105,8,6.0,8,0.1,6.9,0.9,1.0,5.7
1.0,10-19,18897,383,70,6,3.0,6,0.0,2.0,0.4,1.6,4.3
1.0,20-29,58829,1381,254,63,42.0,63,0.1,2.3,0.4,4.6,16.5
1.0,30-39,59520,2718,685,182,114.0,182,0.3,4.6,1.2,6.7,16.6
1.0,40-49,43473,3688,1146,424,292.0,427,1.0,8.5,2.6,11.5,25.5
1.0,50-59,36885,5848,2000,1003,659.0,1011,2.7,15.9,5.4,17.2,33.0
1.0,60-69,20923,5970,2411,1635,1067.0,1652,7.9,28.5,11.5,27.4,44.3
1.0,70-79,10374,4446,1790,1777,1083.0,1793,17.3,42.9,17.3,40.0,60.5
1.0,80+,6244,3400,878,1910,601.0,1942,31.1,54.5,14.1,56.2,68.5
2.0,0-9,10583,507,94,4,2.0,4,0.0,4.8,0.9,0.8,2.1
2.0,10-19,23976,287,56,4,2.0,4,0.0,1.2,0.2,1.4,3.6
2.0,20-29,71877,960,177,33,24.0,33,0.0,1.3,0.2,3.4,13.6
2.0,30-39,73136,1839,424,96,62.0,100,0.1,2.5,0.6,5.2,14.6
2.0,40-49,53781,2665,811,249,179.0,252,0.5,5.0,1.5,9.3,22.1
2.0,50-59,47462,4702,1682,675,494.0,691,1.5,9.9,3.5,14.4,29.4
2.0,60-69,28904,5505,2289,1396,993.0,1406,4.9,19.0,7.9,25.4,43.4
2.0,70-79,13825,4583,2034,1731,1151.0,1755,12.7,33.2,14.7,37.8,56.6
2.0,80+,7515,3516,909,1791,610.0,1823,24.3,46.8,12.1,50.9,67.1
3.0,0-9,30674,877,135,15,9.0,16,0.1,2.9,0.4,1.7,6.7
3.0,10-19,71115,363,69,15,7.0,15,0.0,0.5,0.1,4.1,10.1
3.0,20-29,174450,1626,390,143,76.0,143,0.1,0.9,0.2,8.8,19.5
3.0,30-39,172751,4083,1295,573,345.0,573,0.3,2.4,0.7,14.0,26.6
3.0,40-49,135599,6856,2693,1362,852.0,1363,1.0,5.1,2.0,19.9,31.6
3.0,50-59,105941,9787,4084,2542,1633.0,2547,2.4,9.2,3.9,26.0,40.0
3.0,60-69,57513,8982,3871,3224,1974.0,3227,5.6,15.6,6.7,35.9,51.0
3.0,70-79,23041,5771,2249,2751,1427.0,2758,12.0,25.0,9.8,47.7,63.5
3.0,80+,10776,4171,881,2546,632.0,2553,23.7,38.7,8.2,61.0,71.7
4.0,0-9,15611,1389,139,6,2.0,6,0.0,8.9,0.9,0.4,1.4
4.0,10-19,19546,212,18,4,,4,0.0,1.1,0.1,1.9,
4.0,20-29,60939,338,35,10,2.0,10,0.0,0.6,0.1,3.0,5.7
4.0,30-39,68058,385,41,17,6.0,17,0.0,0.6,0.1,4.4,14.6
4.0,40-49,51916,438,58,33,9.0,34,0.1,0.8,0.1,7.5,15.5
4.0,50-59,36567,703,130,83,28.0,89,0.2,1.9,0.4,11.8,21.5
4.0,60-69,28942,1208,297,211,98.0,223,0.8,4.2,1.0,17.5,33.0
4.0,70-79,14535,1678,330,374,133.0,394,2.7,11.5,2.3,22.3,40.3
4.0,80+,8505,2233,313,866,181.0,920,10.8,26.3,3.7,38.8,57.8
